[23:28:22.918] [INFO] [src/statusbar.c:66] netlink monitor started (link + addr events)
[23:28:22.926] [INFO] [src/draw.c:796] net icon paths: wifi100=/nix/store/zkhbdqqkxvv03xrgx21hg1r1z72v945p-nixlytile-git/bin/../share/nixlytile/images/svg/wifi_100.svg wifi75=/nix/store/zkhbdqqkxvv03xrgx21hg1r1z72v945p-nixlytile-git/bin/../share/nixlytile/images/svg/wifi_75.svg wifi50=/nix/store/zkhbdqqkxvv03xrgx21hg1r1z72v945p-nixlytile-git/bin/../share/nixlytile/images/svg/wifi_50.svg wifi25=/nix/store/zkhbdqqkxvv03xrgx21hg1r1z72v945p-nixlytile-git/bin/../share/nixlytile/images/svg/wifi_25.svg eth=/nix/store/zkhbdqqkxvv03xrgx21hg1r1z72v945p-nixlytile-git/bin/../share/nixlytile/images/svg/ethernet.svg noconn=/nix/store/zkhbdqqkxvv03xrgx21hg1r1z72v945p-nixlytile-git/bin/../share/nixlytile/images/svg/no_connection.svg
[23:28:22.931] [INFO] [src/gaming.c:3988] GPU 0: /dev/dri/card1 [/dev/dri/renderD128] driver=nvidia discrete=1 pci=0000:01:00.0
[23:28:22.931] [INFO] [src/gaming.c:4057] Selected discrete GPU: card1 (0000:01:00.0) driver=nvidia
[23:28:22.932] [INFO] [src/gaming.c:4095] dGPU: holding /dev/dri/renderD128 open (fd=18) to prevent D3cold
[23:28:22.932] [INFO] [src/gaming.c:4141] NVIDIA: driver version 595.58.03 (major=595)
[23:28:22.932] [INFO] [src/gaming.c:4260] dGPU: D3cold prevention active — power/control=on + render node held open
[23:28:22.932] [INFO] [libseat] [libseat/backend/seatd.c:64] Could not connect to socket /run/seatd.sock: No such file or directory
[23:28:22.932] [INFO] [libseat] [libseat/libseat.c:76] Backend 'seatd' failed to open seat, skipping
[23:28:22.934] [INFO] [libseat] [libseat/libseat.c:73] Seat opened with backend 'logind'
[23:28:22.934] [INFO] [backend/session/session.c:117] Successfully loaded libseat session
[23:28:22.938] [INFO] [backend/backend.c:248] Found 1 GPUs
[23:28:22.938] [INFO] [backend/drm/backend.c:263] Initializing DRM backend for /dev/dri/card1 (nvidia-drm)
[23:28:22.938] [DEBUG] [backend/drm/drm.c:112] Using atomic DRM interface
[23:28:22.938] [DEBUG] [backend/drm/drm.c:140] ADDFB2 modifiers supported
[23:28:22.938] [INFO] [backend/drm/drm.c:315] Found 4 DRM CRTCs
[23:28:22.938] [INFO] [backend/drm/drm.c:273] Found 12 DRM planes
[23:28:22.971] [INFO] [render/egl.c:205] Supported EGL client extensions: EGL_EXT_platform_base EGL_EXT_device_base EGL_EXT_device_enumeration EGL_EXT_device_query EGL_KHR_client_get_all_proc_addresses EGL_EXT_client_extensions EGL_KHR_debug EGL_KHR_platform_x11 EGL_EXT_platform_x11 EGL_EXT_platform_device EGL_MESA_platform_surfaceless EGL_EXT_explicit_device EGL_KHR_platform_wayland EGL_EXT_platform_wayland EGL_KHR_platform_gbm EGL_MESA_platform_gbm EGL_EXT_platform_xcb
[23:28:22.977] [DEBUG] [render/egl.c:523] Using EGL device /dev/dri/card1
[23:28:22.980] [INFO] [render/egl.c:369] Using EGL 1.5
[23:28:22.980] [INFO] [render/egl.c:370] Supported EGL display extensions: EGL_ANDROID_native_fence_sync EGL_EXT_buffer_age EGL_EXT_client_sync EGL_EXT_create_context_robustness EGL_EXT_image_dma_buf_import EGL_EXT_image_dma_buf_import_modifiers EGL_MESA_image_dma_buf_export EGL_EXT_output_base EGL_EXT_output_drm EGL_EXT_protected_content EGL_EXT_stream_consumer_egloutput EGL_EXT_stream_acquire_mode EGL_EXT_sync_reuse EGL_IMG_context_priority EGL_KHR_config_attribs EGL_KHR_create_context_no_error EGL_KHR_context_flush_control EGL_KHR_create_context EGL_KHR_fence_sync EGL_KHR_get_all_proc_addresses EGL_KHR_partial_update EGL_KHR_swap_buffers_with_damage EGL_KHR_no_config_context EGL_KHR_gl_colorspace EGL_KHR_gl_renderbuffer_image EGL_KHR_gl_texture_2D_image EGL_KHR_gl_texture_3D_image EGL_KHR_gl_texture_cubemap_image EGL_KHR_image EGL_KHR_image_base EGL_KHR_reusable_sync EGL_KHR_stream EGL_KHR_stream_attrib EGL_KHR_stream_consumer_gltexture EGL_KHR_stream_cross_process_fd EGL_KHR_stream_fifo EGL_KHR_stream_producer_eglsurface EGL_KHR_surfaceless_context EGL_KHR_wait_sync EGL_NV_nvrm_fence_sync EGL_NV_quadruple_buffer EGL_NV_stream_consumer_eglimage EGL_NV_stream_cross_display EGL_NV_stream_cross_object EGL_NV_stream_cross_process EGL_NV_stream_cross_system EGL_NV_stream_dma EGL_NV_stream_flush EGL_NV_stream_metadata EGL_NV_stream_remote EGL_NV_stream_reset EGL_NV_stream_socket EGL_NV_stream_socket_inet EGL_NV_stream_socket_unix EGL_NV_stream_sync EGL_NV_stream_fifo_next EGL_NV_stream_fifo_synchronous EGL_NV_stream_consumer_gltexture_yuv EGL_NV_stream_attrib EGL_NV_stream_origin EGL_NV_system_time EGL_NV_output_drm_flip_event EGL_NV_triple_buffer EGL_NV_robustness_video_memory_purge EGL_WL_bind_wayland_display EGL_WL_wayland_eglstream
[23:28:22.980] [INFO] [render/egl.c:372] Supported EGL device extensions: EGL_NV_device_cuda EGL_EXT_device_drm EGL_EXT_device_drm_render_node EGL_EXT_device_query_name EGL_EXT_device_persistent_id
[23:28:22.980] [INFO] [render/egl.c:374] EGL vendor: NVIDIA
[23:28:22.980] [INFO] [render/egl.c:376] EGL driver name: nvidia
[23:28:22.980] [DEBUG] [render/egl.c:120] Supported DMA-BUF formats:
[23:28:22.981] [DEBUG] [render/egl.c:169]   AB24 (0x34324241)
[23:28:22.981] [DEBUG] [render/egl.c:103]     INVALID (0x00FFFFFFFFFFFFFF): ✓ texture  ✓ render
[23:28:22.981] [DEBUG] [render/egl.c:103]     BLOCK_LINEAR_2D,HEIGHT=0,KIND=6,GEN=2,SECTOR=1,COMPRESSION=0 (0x0300000000606010): ✓ texture  ✓ render
[23:28:22.981] [DEBUG] [render/egl.c:103]     BLOCK_LINEAR_2D,HEIGHT=1,KIND=6,GEN=2,SECTOR=1,COMPRESSION=0 (0x0300000000606011): ✓ texture  ✓ render
[23:28:22.981] [DEBUG] [render/egl.c:103]     BLOCK_LINEAR_2D,HEIGHT=2,KIND=6,GEN=2,SECTOR=1,COMPRESSION=0 (0x0300000000606012): ✓ texture  ✓ render
[23:28:22.981] [DEBUG] [render/egl.c:103]     BLOCK_LINEAR_2D,HEIGHT=3,KIND=6,GEN=2,SECTOR=1,COMPRESSION=0 (0x0300000000606013): ✓ texture  ✓ render
[23:28:22.981] [DEBUG] [render/egl.c:103]     BLOCK_LINEAR_2D,HEIGHT=4,KIND=6,GEN=2,SECTOR=1,COMPRESSION=0 (0x0300000000606014): ✓ texture  ✓ render
[23:28:22.981] [DEBUG] [render/egl.c:103]     BLOCK_LINEAR_2D,HEIGHT=5,KIND=6,GEN=2,SECTOR=1,COMPRESSION=0 (0x0300000000606015): ✓ texture  ✓ render
[23:28:22.981] [DEBUG] [render/egl.c:103]     BLOCK_LINEAR_2D,HEIGHT=0,KIND=8,GEN=2,SECTOR=1,COMPRESSION=1 (0x0300000000E08010): ✓ texture  ✓ render
[23:28:22.981] [DEBUG] [render/egl.c:103]     BLOCK_LINEAR_2D,HEIGHT=1,KIND=8,GEN=2,SECTOR=1,COMPRESSION=1 (0x0300000000E08011): ✓ texture  ✓ render
[23:28:22.981] [DEBUG] [render/egl.c:103]     BLOCK_LINEAR_2D,HEIGHT=2,KIND=8,GEN=2,SECTOR=1,COMPRESSION=1 (0x0300000000E08012): ✓ texture  ✓ render
[23:28:22.981] [DEBUG] [render/egl.c:103]     BLOCK_LINEAR_2D,HEIGHT=3,KIND=8,GEN=2,SECTOR=1,COMPRESSION=1 (0x0300000000E08013): ✓ texture  ✓ render
[23:28:22.981] [DEBUG] [render/egl.c:103]     BLOCK_LINEAR_2D,HEIGHT=4,KIND=8,GEN=2,SECTOR=1,COMPRESSION=1 (0x0300000000E08014): ✓ texture  ✓ render
[23:28:22.981] [DEBUG] [render/egl.c:103]     BLOCK_LINEAR_2D,HEIGHT=5,KIND=8,GEN=2,SECTOR=1,COMPRESSION=1 (0x0300000000E08015): ✓ texture  ✓ render
[23:28:22.981] [DEBUG] [render/egl.c:103]     LINEAR (0x0000000000000000): ✓ texture  ✗ render
[23:28:22.981] [DEBUG] [render/egl.c:169]   XB24 (0x34324258)
[23:28:22.981] [DEBUG] [render/egl.c:103]     INVALID (0x00FFFFFFFFFFFFFF): ✓ texture  ✓ render
[23:28:22.981] [DEBUG] [render/egl.c:103]     BLOCK_LINEAR_2D,HEIGHT=0,KIND=6,GEN=2,SECTOR=1,COMPRESSION=0 (0x0300000000606010): ✓ texture  ✓ render
[23:28:22.981] [DEBUG] [render/egl.c:103]     BLOCK_LINEAR_2D,HEIGHT=1,KIND=6,GEN=2,SECTOR=1,COMPRESSION=0 (0x0300000000606011): ✓ texture  ✓ render
[23:28:22.981] [DEBUG] [render/egl.c:103]     BLOCK_LINEAR_2D,HEIGHT=2,KIND=6,GEN=2,SECTOR=1,COMPRESSION=0 (0x0300000000606012): ✓ texture  ✓ render
[23:28:22.981] [DEBUG] [render/egl.c:103]     BLOCK_LINEAR_2D,HEIGHT=3,KIND=6,GEN=2,SECTOR=1,COMPRESSION=0 (0x0300000000606013): ✓ texture  ✓ render
[23:28:22.981] [DEBUG] [render/egl.c:103]     BLOCK_LINEAR_2D,HEIGHT=4,KIND=6,GEN=2,SECTOR=1,COMPRESSION=0 (0x0300000000606014): ✓ texture  ✓ render
[23:28:22.981] [DEBUG] [render/egl.c:103]     BLOCK_LINEAR_2D,HEIGHT=5,KIND=6,GEN=2,SECTOR=1,COMPRESSION=0 (0x0300000000606015): ✓ texture  ✓ render
[23:28:22.981] [DEBUG] [render/egl.c:103]     BLOCK_LINEAR_2D,HEIGHT=0,KIND=8,GEN=2,SECTOR=1,COMPRESSION=1 (0x0300000000E08010): ✓ texture  ✓ render
[23:28:22.981] [DEBUG] [render/egl.c:103]     BLOCK_LINEAR_2D,HEIGHT=1,KIND=8,GEN=2,SECTOR=1,COMPRESSION=1 (0x0300000000E08011): ✓ texture  ✓ render
[23:28:22.981] [DEBUG] [render/egl.c:103]     BLOCK_LINEAR_2D,HEIGHT=2,KIND=8,GEN=2,SECTOR=1,COMPRESSION=1 (0x0300000000E08012): ✓ texture  ✓ render
[23:28:22.981] [DEBUG] [render/egl.c:103]     BLOCK_LINEAR_2D,HEIGHT=3,KIND=8,GEN=2,SECTOR=1,COMPRESSION=1 (0x0300000000E08013): ✓ texture  ✓ render
[23:28:22.981] [DEBUG] [render/egl.c:103]     BLOCK_LINEAR_2D,HEIGHT=4,KIND=8,GEN=2,SECTOR=1,COMPRESSION=1 (0x0300000000E08014): ✓ texture  ✓ render
[23:28:22.981] [DEBUG] [render/egl.c:103]     BLOCK_LINEAR_2D,HEIGHT=5,KIND=8,GEN=2,SECTOR=1,COMPRESSION=1 (0x0300000000E08015): ✓ texture  ✓ render
[23:28:22.981] [DEBUG] [render/egl.c:103]     LINEAR (0x0000000000000000): ✓ texture  ✗ render
[23:28:22.981] [DEBUG] [render/egl.c:169]   R8 (0x20203852)
